"ITTER107","Territory","TIPO_DATO15","Data type","SEXISTAT1","Gender","ISO","Most relevant Country of citizenship","MOTIVOPS1","Reason","TIME","Select time","Value","Flag Codes","Flags"
"ITC4","Lombardia","INFLNONEU","annual inflows of non-EU citizens","2","females","AR","Argentina","OTH1","elective residence, religion, health","2010","2010",16,,
"ITC4","Lombardia","INFLNONEU","annual inflows of non-EU citizens","2","females","AR","Argentina","OTH1","elective residence, religion, health","2011","2011",20,,
"ITC4","Lombardia","INFLNONEU","annual inflows of non-EU citizens","2","females","AR","Argentina","OTH1","elective residence, religion, health","2012","2012",13,,
"ITC4","Lombardia","INFLNONEU","annual inflows of non-EU citizens","2","females","AR","Argentina","OTH1","elective residence, religion, health","2013","2013",9,,
"ITC4","Lombardia","INFLNONEU","annual inflows of non-EU citizens","2","females","AR","Argentina","OTH1","elective residence, religion, health","2014","2014",18,,
"ITC4","Lombardia","INFLNONEU","annual inflows of non-EU citizens","2","females","AR","Argentina","OTH1","elective residence, religion, health","2015","2015",23,,
"ITC4","Lombardia","INFLNONEU","annual inflows of non-EU citizens","2","females","AR","Argentina","OTH1","elective residence, religion, health","2016","2016",10,,
"ITC4","Lombardia","INFLNONEU","annual inflows of non-EU citizens","2","females","AR","Argentina","OTH1","elective residence, religion, health","2017","2017",17,,
"ITC4","Lombardia","INFLNONEU","annual inflows of non-EU citizens","2","females","AR","Argentina","OTH1","elective residence, religion, health","2018","2018",20,,
"ITC4","Lombardia","INFLNONEU","annual inflows of non-EU citizens","2","females","AR","Argentina","OTH1","elective residence, religion, health","2019","2019",21,,
"ITC4","Lombardia","INFLNONEU","annual inflows of non-EU citizens","2","females","AR","Argentina","OTH1","elective residence, religion, health","2020","2020",12,,
"ITC4","Lombardia","INFLNONEU","annual inflows of non-EU citizens","2","females","AR","Argentina","OTH1","elective residence, religion, health","2021","2021",10,,
"ITC4","Lombardia","INFLNONEU","annual inflows of non-EU citizens","2","females","AR","Argentina","OTH1","elective residence, religion, health","2022","2022",39,,
"ITD58","Forlì-Cesena","INFLNONEU","annual inflows of non-EU citizens","1","males","AR","Argentina","FAM","family","2007","2007",6,,
"ITD58","Forlì-Cesena","INFLNONEU","annual inflows of non-EU citizens","1","males","AR","Argentina","FAM","family","2010","2010",1,,
"ITD58","Forlì-Cesena","INFLNONEU","annual inflows of non-EU citizens","1","males","AR","Argentina","FAM","family","2011","2011",2,,
"ITD58","Forlì-Cesena","INFLNONEU","annual inflows of non-EU citizens","1","males","AR","Argentina","FAM","family","2012","2012",1,,
"ITD58","Forlì-Cesena","INFLNONEU","annual inflows of non-EU citizens","1","males","AR","Argentina","FAM","family","2013","2013",2,,
"ITD58","Forlì-Cesena","INFLNONEU","annual inflows of non-EU citizens","1","males","AR","Argentina","FAM","family","2014","2014",1,,
"ITD58","Forlì-Cesena","INFLNONEU","annual inflows of non-EU citizens","1","males","AR","Argentina","FAM","family","2015","2015",1,,
"ITD58","Forlì-Cesena","INFLNONEU","annual inflows of non-EU citizens","1","males","AR","Argentina","FAM","family","2017","2017",1,,
"ITD58","Forlì-Cesena","INFLNONEU","annual inflows of non-EU citizens","1","males","AR","Argentina","FAM","family","2019","2019",1,,
"ITD58","Forlì-Cesena","INFLNONEU","annual inflows of non-EU citizens","1","males","AR","Argentina","FAM","family","2020","2020",1,,
"ITD58","Forlì-Cesena","INFLNONEU","annual inflows of non-EU citizens","1","males","AR","Argentina","FAM","family","2022","2022",3,,
"ITD","Nord-est","INFLNONEU","annual inflows of non-EU citizens","1","males","AR","Argentina","OTH1","elective residence, religion, health","2007","2007",19,,
"ITD","Nord-est","INFLNONEU","annual inflows of non-EU citizens","1","males","AR","Argentina","OTH1","elective residence, religion, health","2008","2008",17,,
"ITD","Nord-est","INFLNONEU","annual inflows of non-EU citizens","1","males","AR","Argentina","OTH1","elective residence, religion, health","2009","2009",16,,
"ITD","Nord-est","INFLNONEU","annual inflows of non-EU citizens","1","males","AR","Argentina","OTH1","elective residence, religion, health","2010","2010",41,,
"ITD","Nord-est","INFLNONEU","annual inflows of non-EU citizens","1","males","AR","Argentina","OTH1","elective residence, religion, health","2011","2011",29,,
"ITD","Nord-est","INFLNONEU","annual inflows of non-EU citizens","1","males","AR","Argentina","OTH1","elective residence, religion, health","2012","2012",16,,
"ITD","Nord-est","INFLNONEU","annual inflows of non-EU citizens","1","males","AR","Argentina","OTH1","elective residence, religion, health","2013","2013",23,,
"ITD","Nord-est","INFLNONEU","annual inflows of non-EU citizens","1","males","AR","Argentina","OTH1","elective residence, religion, health","2014","2014",12,,
"ITD","Nord-est","INFLNONEU","annual inflows of non-EU citizens","1","males","AR","Argentina","OTH1","elective residence, religion, health","2015","2015",25,,
"ITD","Nord-est","INFLNONEU","annual inflows of non-EU citizens","1","males","AR","Argentina","OTH1","elective residence, religion, health","2016","2016",12,,
"ITD","Nord-est","INFLNONEU","annual inflows of non-EU citizens","1","males","AR","Argentina","OTH1","elective residence, religion, health","2017","2017",5,,
"ITD","Nord-est","INFLNONEU","annual inflows of non-EU citizens","1","males","AR","Argentina","OTH1","elective residence, religion, health","2018","2018",21,,
"ITD","Nord-est","INFLNONEU","annual inflows of non-EU citizens","1","males","AR","Argentina","OTH1","elective residence, religion, health","2019","2019",21,,
"ITD","Nord-est","INFLNONEU","annual inflows of non-EU citizens","1","males","AR","Argentina","OTH1","elective residence, religion, health","2020","2020",13,,
"ITD","Nord-est","INFLNONEU","annual inflows of non-EU citizens","1","males","AR","Argentina","OTH1","elective residence, religion, health","2021","2021",30,,
"ITD","Nord-est","INFLNONEU","annual inflows of non-EU citizens","1","males","AR","Argentina","OTH1","elective residence, religion, health","2022","2022",70,,
"ITC11","Torino","INFLNONEU","annual inflows of non-EU citizens","9","total","AR","Argentina","FAM","family","2007","2007",29,,
"ITC11","Torino","INFLNONEU","annual inflows of non-EU citizens","9","total","AR","Argentina","FAM","family","2008","2008",17,,
"ITC11","Torino","INFLNONEU","annual inflows of non-EU citizens","9","total","AR","Argentina","FAM","family","2009","2009",20,,
"ITC11","Torino","INFLNONEU","annual inflows of non-EU citizens","9","total","AR","Argentina","FAM","family","2010","2010",30,,
"ITC11","Torino","INFLNONEU","annual inflows of non-EU citizens","9","total","AR","Argentina","FAM","family","2011","2011",13,,
"ITC11","Torino","INFLNONEU","annual inflows of non-EU citizens","9","total","AR","Argentina","FAM","family","2012","2012",24,,
"ITC11","Torino","INFLNONEU","annual inflows of non-EU citizens","9","total","AR","Argentina","FAM","family","2013","2013",13,,
"ITC11","Torino","INFLNONEU","annual inflows of non-EU citizens","9","total","AR","Argentina","FAM","family","2014","2014",17,,
"ITC11","Torino","INFLNONEU","annual inflows of non-EU citizens","9","total","AR","Argentina","FAM","family","2015","2015",15,,
"ITC11","Torino","INFLNONEU","annual inflows of non-EU citizens","9","total","AR","Argentina","FAM","family","2016","2016",15,,
"ITC11","Torino","INFLNONEU","annual inflows of non-EU citizens","9","total","AR","Argentina","FAM","family","2017","2017",11,,
"ITC11","Torino","INFLNONEU","annual inflows of non-EU citizens","9","total","AR","Argentina","FAM","family","2018","2018",14,,
"ITC11","Torino","INFLNONEU","annual inflows of non-EU citizens","9","total","AR","Argentina","FAM","family","2019","2019",16,,
"ITC11","Torino","INFLNONEU","annual inflows of non-EU citizens","9","total","AR","Argentina","FAM","family","2020","2020",17,,
